,burned_area
179276,0.0
54884,0.0
170609,0.0
25338,0.0
62589,0.0
4981,0.0
94076,0.0
46201,0.0
161242,0.0
104974,1502610.0
105602,23988106.0
172518,119403888.0
72563,0.0
73382,0.0
27613,0.0
168529,0.0
35376,0.0
157491,536646.0
147463,0.0
130426,0.0
119489,0.0
111037,0.0
5534,858634.0
97866,0.0
105204,0.0
157551,0.0
157059,429317.0
129634,427600084.0
180507,0.0
143448,0.0
40145,0.0
5182,214658.0
147290,0.0
175683,0.0
104227,536646.0
83552,0.0
27490,0.0
15462,0.0
158515,2146586.0
31735,0.0
118862,0.0
134225,0.0
164604,0.0
178510,1931928.0
75635,41804775.0
13856,0.0
170647,0.0
76475,0.0
4607,0.0
160839,39550860.0
140805,0.0
30688,0.0
62309,0.0
141213,0.0
85260,0.0
46874,107329.0
83412,0.0
172356,0.0
15056,0.0
141435,3273544.0
65204,0.0
79506,0.0
172659,0.0
127170,2468574.0
167404,0.0
57605,0.0
95418,0.0
97303,8586346.0
149037,0.0
177770,0.0
177831,0.0
55520,0.0
16117,0.0
90207,19963255.0
104010,5903113.0
36238,3756526.0
143140,4829820.0
85110,0.0
165236,0.0
52869,0.0
103503,0.0
54294,0.0
95025,0.0
147650,2897891.0
65368,0.0
176627,1502610.0
173358,4776154.0
131577,0.0
131174,63592632.0
172829,54254978.0
28966,0.0
50056,0.0
135446,0.0
126771,26027362.0
29506,0.0
66268,0.0
175585,536646.0
130734,0.0
43538,0.0
163897,5956777.0
4704,5795783.0
173475,0.0
66012,0.0
61704,0.0
151728,536646.0
35209,0.0
134512,34452717.0
146386,0.0
11130,0.0
42473,0.0
128229,0.0
90716,0.0
30204,0.0
136704,19802262.0
18250,0.0
65425,0.0
143731,82214272.0
103159,751305.0
48596,0.0
133954,2790562.0
13524,0.0
55593,0.0
54038,0.0
40128,0.0
99953,0.0
66027,0.0
2813,0.0
136280,3112550.0
59639,0.0
47189,0.0
97876,0.0
172102,0.0
94996,0.0
36724,0.0
94711,2790562.0
10079,0.0
152807,0.0
149838,0.0
82998,0.0
79713,0.0
167563,0.0
47084,0.0
6837,0.0
96511,8049699.0
41610,0.0
106699,65041580.0
95086,0.0
73116,0.0
5836,0.0
38142,0.0
176264,0.0
151142,0.0
154058,33969736.0
85880,0.0
70895,0.0
96928,0.0
151044,0.0
98626,0.0
140930,0.0
105360,0.0
80828,0.0
121390,1180622.0
70865,0.0
90376,0.0
154654,0.0
114526,0.0
140243,0.0
168653,0.0
61325,0.0
147127,12450202.0
180309,1824598.0
170267,321988.0
155563,0.0
76430,1663604.0
179225,912299.0
69992,7030071.0
16316,0.0
157161,3810191.0
29626,0.0
1948,19265615.0
181172,858634.0
159656,858634.0
18997,0.0
147581,149778090.0
167287,14811447.0
1781,0.0
15435,0.0
26586,0.0
122680,0.0
136877,375652.0
98918,6278766.0
83614,0.0
43448,0.0
106586,7083735.0
83968,0.0
179505,2790562.0
58632,0.0
56529,0.0
103741,0.0
114459,11215915.0
53516,0.0
125021,0.0
163896,912299.0
53308,0.0
88289,1019628.0
13653,0.0
10374,0.0
102502,0.0
33946,0.0
73292,0.0
88592,0.0
5736,0.0
59333,0.0
154732,0.0
68238,0.0
173314,5795784.0
167753,2683233.0
88817,0.0
63638,115379028.0
170073,0.0
2072,1341616.0
145988,19426608.0
46586,0.0
37826,0.0
146178,19641267.0
149724,18406980.0
86968,0.0
180803,16904370.0
84653,0.0
91114,0.0
1070,0.0
19633,0.0
77722,0.0
83648,0.0
28257,0.0
30230,0.0
84443,0.0
47727,0.0
109731,15187100.0
100906,0.0
146307,0.0
59254,0.0
141756,50176465.0
93963,0.0
27210,0.0
32906,3005221.0
110193,0.0
148534,30320535.0
124030,0.0
37762,0.0
96445,2468574.0
171042,0.0
37936,0.0
10486,0.0
3308,0.0
156366,18567974.0
135465,0.0
182259,0.0
154479,0.0
165251,0.0
179083,0.0
88504,0.0
59909,0.0
121427,47117580.0
107910,0.0
28745,0.0
159895,0.0
162133,751305.0
78032,0.0
487,0.0
56476,0.0
18516,0.0
11464,0.0
182333,0.0
154973,61553372.0
76084,0.0
11548,0.0
24755,0.0
163536,6010442.0
108302,1502610.0
70528,0.0
25450,0.0
50668,0.0
165472,0.0
14451,0.0
82822,0.0
773,0.0
11568,0.0
71418,0.0
176105,0.0
172746,0.0
40463,0.0
82891,0.0
121996,0.0
12777,0.0
130558,0.0
146756,9176657.0
73818,0.0
133160,0.0
164780,0.0
98224,0.0
15280,0.0
98105,38584897.0
96301,0.0
174106,0.0
